"Medicijn","Dosisaanpassing","Type","Antwoord"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib is niet onderzocht bij patiënten met verminderde leverfunctie en is daarom in deze populatie gecontra-indiceerd (zie rubriek 4.3).","Leverinsufficiëntie","Gecontra-indiceerd"
"Meloxicam Aurobindo 7,5 mg, tabletten","Bij patiënten met milde tot matige nierinsufficiëntie (. patiënten met een creatinineklaring 25 ml/min) is is geen dosis-aanpassing nodig. (Voor patiënten met ernstige nierinsufficiëntie waarbij niet wordt gedialyseerd, zie rubriek 4.3).","Nierinsufficiëntie","Geen dosisaanpassing"
"Meloxicam Aurobindo 7,5 mg, tabletten","Bij patiënten met milde tot matige leverinsufficiëntie is geen dosis-aanpassing nodig. (Voor patiënten met ernstige leverinsufficiëntie, zie rubriek 4.3).","Leverinsufficiëntie","Geen dosisaanpassing"
"Zynrelef (60 mg + 1,8 mg)/2,3 ml oplossing met verlengde afgifte voor wondzorg","Oudere patiënten moeten lagere doses krijgen die passen bij hun leeftijd en hun lichamelijke conditie. Aangezien oudere patiënten een verminderd","Ouderen","Wel dosisaanpassing"
"Zynrelef (60 mg + 1,8 mg)/2,3 ml oplossing met verlengde afgifte voor wondzorg","Bij patiënten met lichte tot matige nierinsufficiëntie is aanpassing van de dosis Zynrelef niet nodig (zie rubriek 5.2)","Nierinsufficiëntie","Geen dosisaanpassing"
"Zynrelef (60 mg + 1,8 mg)/2,3 ml oplossing met verlengde afgifte voor wondzorg","Het gebruik van Zynrelef bij patiënten met ernstige nierinsufficiëntie zonder dialyse is gecontra-indiceerd (zie rubriek 4.3)","Nierinsufficiëntie","Gecontra-indiceerd"
"Zynrelef (60 mg + 1,8 mg)/2,3 ml oplossing met verlengde afgifte voor wondzorg","Het gebruik bij patiënten met ernstige nierinsufficiëntie en dialyse wordt niet aanbevolen (zie rubriek 4.4).","Nierinsufficiëntie","Gecontra-indiceerd"
"Zynrelef (60 mg + 1,8 mg)/2,3 ml oplossing met verlengde afgifte voor wondzorg","Bij patiënten met lichte tot matige leverinsufficiëntie is aanpassing van de dosis Zynrelef niet nodig. Patiënten moeten worden gemonitord op tekenen van een verslechterende leverfunctie (zie rubriek 4.4 en 5.2).","Leverinsufficiëntie","Geen dosisaanpassing"
"Zynrelef (60 mg + 1,8 mg)/2,3 ml oplossing met verlengde afgifte voor wondzorg","Het gebruik van Zynrelef bij patiënten met ernstige leverinsufficiëntie is gecontra-indiceerd (zie rubriek 4.3)","Leverinsufficiëntie","Gecontra-indiceerd"
"Ebymect 5 mg/850 mg, filmomhulde tabletten","Aangezien metformine gedeeltelijk wordt uitgescheiden door de nieren en oudere patiënten een grotere kans hebben op een verminderde nierfunctie, dient dit geneesmiddel met voorzichtigheid te worden gebruikt naarmate de leeftijd stijgt. De nierfunctie dient regelmatig te worden gecontroleerd om een metforminegerelateerde lactaatacidose te voorkomen, in het bijzonder bij oudere patiënten (zie rubrieken 4.3 en 4.4).","Ouderen","Geen dosisaanpassing"
"Ebymect 5 mg/850 mg, filmomhulde tabletten","Dit geneesmiddel dient niet gebruikt te worden bij patiënten met leverfunctiestoornissen (zie rubrieken 4.3, 4.4 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Metformine HCl 1A Pharma 500 mg, filmomhulde tabletten","Vanwege de mogelijk verminderde nierfunctie bij ouderen moet de dosering metformine op basis van de nierfunctie worden aangepast. Een regelmatige controle van de nierfunctie is noodzakelijk (zie rubriek 4.4)","Ouderen","Wel dosisaanpassing"
"Segluromet 2,5 mg/850 mg filmomhulde tabletten","Segluromet is gecontra-indiceerd bij patiënten met een leverfunctiestoornis (zie rubrieken 4.3 en 4.4).","Leverinsufficiëntie","Gecontra-indiceerd"
"Segluromet 2,5 mg/850 mg filmomhulde tabletten","Oudere patiënten hebben een grotere kans op een verminderde nierfunctie. Omdat na het starten met ertugliflozine afwijkingen in de nierfunctie kunnen optreden, en omdat van metformine bekend is dat het in aanzienlijke mate via de nieren wordt uitgescheiden, dient Segluromet bij ouderen met voorzichtigheid te worden gebruikt. Regelmatige beoordeling van de nierfunctie is noodzakelijk om aan metformine gerelateerde lactaatacidose te helpen voorkomen, vooral bij oudere patiënten (zie 5 rubriek 4.4). Er moet rekening worden gehouden met de nierfunctie en het risico op volumedepletie (zie rubrieken 4.4 en 4.8).","Nierinsufficiëntie","Geen dosisaanpassing"
"Basitrin 5 mg=0,133 ml, oplossing voor injectie in een voorgevulde spuit 37,5 mg/ml","Bij patiënten met verminderde nierfunctie dient men voorzichtig te zijn met het gebruik van methotrexaat. De dosis dient als volgt te worden aangepast: Creatinine klaring > 50 ml/min 100% Creatinine klaring 20 – 50 ml/min 50% Creatinine klaring < 20 ml/min Basitrin oplossing voor injectie mag niet worden gebruikt","Nierinsufficiëntie","Wel dosisaanpassing"
"Basitrin 5 mg=0,133 ml, oplossing voor injectie in een voorgevulde spuit 37,5 mg/ml","Indien bilirubine > 5 mg/dl (85,5 μmol/l) is, is methotrexaat gecontra-indiceerd.","Leverinsufficiëntie","Gecontra-indiceerd"
"Basitrin 5 mg=0,133 ml, oplossing voor injectie in een voorgevulde spuit 37,5 mg/ml","Bij ouderen dient men in verband met verminderde lever- en nierfunctie, evenals lagere foliumzuurreserves die zich voordoen naarmate men ouder wordt, dosisreductie te overwegen.","Ouderen","Wel dosisaanpassing"
"Concerta 18 mg, tabletten met verlengde afgifte","Het gebruik van methylfenidaat wordt bij oudere patiënten niet aanbevolen.","Ouderen","Gecontra-indiceerd"
"Concerta 18 mg, tabletten met verlengde afgifte","De veiligheid en werkzaamheid zijn in deze leeftijdsgroep niet vastgesteld. Concerta is niet bestudeerd bij ADHD bij patiënten ouder dan 65 jaar.","Ouderen","Niet onderzocht"
"Concerta 18 mg, tabletten met verlengde afgifte","Methylfenidaat is niet bestudeerd bij patiënten met leverinsufficiëntie","Leverinsufficiëntie","Niet onderzocht"
"Concerta 18 mg, tabletten met verlengde afgifte","Methylfenidaat is niet bestudeerd bij patiënten met nierinsufficiëntie.","Nierinsufficiëntie","Niet onderzocht"
"Medikinet CR 5 mg, capsules met gereguleerde afgifte, hard","De veiligheid en werkzaamheid zijn niet vastgesteld bij patiënten ouder dan 60 jaar","Ouderen","Niet onderzocht"
"Medikinet CR 5 mg, capsules met gereguleerde afgifte, hard","Medikinet CR is niet onderzocht bij patiënten met een leverfunctiestoornis. Voorzichtigheid is geboden bij deze patiënten.","Leverinsufficiëntie","Niet onderzocht"
"Medikinet CR 5 mg, capsules met gereguleerde afgifte, hard","Medikinet CR is niet onderzocht bij patiënten met een nierfunctiestoornis. Voorzichtigheid is geboden bij deze patiënten.","Nierinsufficiëntie","Niet onderzocht"
"Arparial 25 mg/5 mg, filmomhulde tabletten","Er is geen aanpassing van de dosering nodig bij patiënten met nierinsufficiëntie en creatinineklaring boven 15 ml/min (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Arparial 25 mg/5 mg, filmomhulde tabletten","Arparial dient met voorzichtigheid te worden gebruikt bij patiënten met een creatinineklaring lager dan 15 ml/min","Nierinsufficiëntie","Geen dosisaanpassing"
"Arparial 25 mg/5 mg, filmomhulde tabletten","Arparial kan worden toegediend bij patiënten met lichte leverinsufficiëntie","Leverinsufficiëntie","Geen dosisaanpassing"
"Arparial 25 mg/5 mg, filmomhulde tabletten","Voorzichtigheid is geboden bij toediening aan patiënten met matig ernstige leverinsufficiëntie","Leverinsufficiëntie","Geen dosisaanpassing"
"Arparial 25 mg/5 mg, filmomhulde tabletten","Arparial is gecontra-indiceerd bij patiënten met ernstige leverinsufficiëntie (zie rubrieken 4.3 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Arparial 25 mg/5 mg, filmomhulde tabletten","Arparial kan met voorzichtigheid worden toegediend aan oudere patiënten (zie rubriek 4.4).","Ouderen","Geen dosisaanpassing"
"Montelukast Sandoz kauwtablet 4 mg, kauwtabletten","De dosis hoeft niet te worden aangepast voor ouderen, voor patiënten met nierinsufficiëntie, of lichte tot matige leverinsufficiëntie.","Ouderen","Geen dosisaanpassing"
"Montelukast Sandoz kauwtablet 4 mg, kauwtabletten","De dosis hoeft niet te worden aangepast voor ouderen, voor patiënten met nierinsufficiëntie, of lichte tot matige leverinsufficiëntie.","Leverinsufficiëntie","Geen dosisaanpassing"
"Montelukast Sandoz kauwtablet 4 mg, kauwtabletten","De dosis hoeft niet te worden aangepast voor ouderen, voor patiënten met nierinsufficiëntie, of lichte tot matige leverinsufficiëntie.","Nierinsufficiëntie","Geen dosisaanpassing"
"Montelukast Sandoz kauwtablet 4 mg, kauwtabletten","Er zijn geen gegevens over patiënten met ernstige leverinsufficiëntie.","Leverinsufficiëntie","Niet onderzocht"
"Kruidvat Naproxennatrium 220 mg Liquid Caps, capsules, zacht","Naproxen dient in de laagst mogelijke effectieve dosering gegeven te worden aan patiënten met milde nierinsufficiëntie en de nierfunctie dient nauwgezet gevolgd te worden","Nierinsufficiëntie","Geen dosisaanpassing"
"Kruidvat Naproxennatrium 220 mg Liquid Caps, capsules, zacht","Naproxen dient zo mogelijk vermeden te worden bij patiënten met matige nierinsufficiëntie en is gecontra-indiceerd bij ernstige nierinsufficiëntie.","Nierinsufficiëntie","Gecontra-indiceerd"
"Kruidvat Naproxennatrium 220 mg Liquid Caps, capsules, zacht","Naproxen dient voorzichtig toegepast te worden met verslechterde leverfunctie. Naproxen dient zo mogelijk vermeden te worden bij patiënten met ernstige leverinsufficiëntie of levercirrose (zie rubriek 4.3 en 4.4).","Leverinsufficiëntie","Gecontra-indiceerd"
"Hypoloc 5 mg tabletten.","Er zijn slechts beperkte gegevens in patiënten met gestoorde leverfunctie of leverinsufficiëntie. Daarom is Hypoloc gecontra-indiceerd in deze patiënten.","Leverinsufficiëntie","Gecontra-indiceerd"
"Hypoloc 5 mg tabletten.","Omdat ervaring bij patiënten ouder dan 75 jaar beperkt is, is waakzaamheid geboden en dienen deze patiënten nauwlettend gevolgd.","Ouderen","Geen dosisaanpassing"
"Nifedipine retard 30 mg Teva, tabletten met gereguleerde afgifte","Op basis van farmacokinetische gegevens voor Nifedipine retard Teva is er geen dosisaanpassing nodig bij ouderen boven de 65 jaar","Ouderen","Geen dosisaanpassing"
"Nifedipine retard 30 mg Teva, tabletten met gereguleerde afgifte","Bij patiënten met leverinsufficiëntie is zorgvuldige controle nodig en in ernstige gevallen kan een dosisvermindering nodig zijn","Leverinsufficiëntie","Wel dosisaanpassing"
"Nifedipine retard 30 mg Teva, tabletten met gereguleerde afgifte","Op basis van farmacokinetische gegevens is er geen dosisaanpassing nodig bij patiënten met nierinsufficiëntie (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Malanxin 2,5 mg, filmomhulde tabletten","Een lagere startdosering (5 mg/dag) wordt niet routinematig aanbevolen","Ouderen","Geen dosisaanpassing"
"Malanxin 2,5 mg, filmomhulde tabletten","Een lagere startdosering (5 mg) dient overwogen te worden voor deze patiënten. In geval van matige leverinsufficiëntie (cirrose, child-pughklasse A of B) dient de startdosering 5 mg te zijn en slechts met voorzichtigheid te worden verhoogd.","Leverinsufficiëntie","Wel dosisaanpassing"
"Malanxin 2,5 mg, filmomhulde tabletten","Een lagere startdosering (5 mg) dient overwogen te worden voor deze patiënten. In geval van matige leverinsufficiëntie (cirrose, child-pughklasse A of B) dient de startdosering 5 mg te zijn en slechts met voorzichtigheid te worden verhoogd.","Nierinsufficiëntie","Wel dosisaanpassing"
"Loprilin 10 mg, maagsapresistente capsules, hard","Voor patiënten met een verminderde nierfunctie is aanpassing van de dosering niet nodig (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Loprilin 10 mg, maagsapresistente capsules, hard","Voor patiënten met een verminderde leverfunctie is een dagelijkse dosis van 10-20 mg mogelijk voldoende (zie rubriek 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Loprilin 10 mg, maagsapresistente capsules, hard","Voor ouderen is aanpassing van de dosering niet nodig (zie rubriek 5.2).","Ouderen","Geen dosisaanpassing"
"Nexium 10 mg Sachet, maagsapresistent granulaat voor orale suspensie","Bij patiënten met een verminderde nierfunctie is aanpassing van de dosering niet nodig. Patiënten met een ernstig gestoorde nierfunctie dienen, vanwege de beperkte ervaring, met voorzichtigheid te worden behandeld (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Nexium 10 mg Sachet, maagsapresistent granulaat voor orale suspensie","Bij patiënten met een mild tot matig gestoorde leverfunctie is aanpassing van de dosering niet nodig. Bij patiënten ≥ 12 jaar met een ernstig verminderde leverfunctie dient een maximale dosering van 20 mg niet overschreden te worden. Bij kinderen van 1-11 jaar met een ernstig verminderde leverfunctie dient een maximale dosering van 10 mg niet overschreden te worden (zie rubriek 5.2).","Leverinsufficiëntie","Geen dosisaanpassing"
"Nexium 10 mg Sachet, maagsapresistent granulaat voor orale suspensie","Bij ouderen is aanpassing van de dosering niet nodig.","Ouderen","Geen dosisaanpassing"
"Parmite","Verhoogde plasmaconcentraties paroxetine treden op bij oudere proefpersonen, maar het concentratiebereik overlapt het bereik dat wordt waargenomen bij jongere proefpersonen. De dosering moet beginnen met de startdosering voor volwassenen.","Ouderen","Geen dosisaanpassing"
"Parmite","Verhoogde plasmaconcentraties van paroxetine treden op bij patiënten met een ernstige nierfunctiestoornis (creatinineklaring minder dan 30 ml/min) of bij personen met een leverfunctiestoornis. Bij deze patiënten dient daarom de dosering beperkt te worden tot het lage uiteinde van het doseringsbereik.","Leverinsufficiëntie","Wel dosisaanpassing"
"Fenoxymethylpenicilline CF 250 mg, capsules.","Bij ernstige nierinsufficiëntie dient de lagere dosering te worden aangehouden","Nierinsufficiëntie","Wel dosisaanpassing"
"Natriumbenzylpenicilline Sandoz 500.000 IE, poeder voor oplossing voor injectie of infusie","Het eliminatieproces kan vertraagd zijn vanwege een gevorderde leeftijd. De dosering dient daarom te worden aangepast aan de nierfunctie in elk individueel geval (zie rubriek 5.2). ","Ouderen","Wel dosisaanpassing"
"Natriumbenzylpenicilline Sandoz 500.000 IE, poeder voor oplossing voor injectie of infusie","Als de nierfunctie ernstig verminderd is, kan de degradatie en excretie van penicillines vertraagd zijn. Hiermee dient rekening te worden gehouden bij de dosering. Het wordt daarom aanbevolen de enkelvoudige doses en/of doseringsintervallen van Natriumbenzylpenicilline Sandoz aan te passen aan de klaringswaarden in elk individueel geval:","Nierinsufficiëntie","Wel dosisaanpassing"
"Natriumbenzylpenicilline Sandoz 500.000 IE, poeder voor oplossing voor injectie of infusie","Het is niet nodig de dosis te verlagen, mits er geen sprake is van nierinsufficiëntie","Leverinsufficiëntie","Geen dosisaanpassing"
"Amylmetacresol Dichloorbenzylalcohol Lidocaïne HCl Linn 0,6/1,2/2,0 mg mint zuigtabletten","Aanpassing van de dosering is niet nodig.","Ouderen","Geen dosisaanpassing"
"Amylmetacresol Dichloorbenzylalcohol Lidocaïne HCl Linn 0,6/1,2/2,0 mg mint zuigtabletten","Er zijn geen gegevens beschikbaar voor gebruik van Amylmetacresol Dichloorbenzylalcohol Lidocaïne HCl Linn bij patiënten met een lever- of nierfunctiestoornis.","Leverinsufficiëntie","Niet onderzocht"
"Amylmetacresol Dichloorbenzylalcohol Lidocaïne HCl Linn 0,6/1,2/2,0 mg mint zuigtabletten","Er zijn geen gegevens beschikbaar voor gebruik van Amylmetacresol Dichloorbenzylalcohol Lidocaïne HCl Linn bij patiënten met een lever- of nierfunctiestoornis.","Nierinsufficiëntie","Niet onderzocht"
"Diphantoïne 250 mg/5 ml, oplossing voor injectie","De klaring van fenytoïne is bij oudere patiënten licht verminderd en een lagere of minder frequente dosering kan nodig zijn (zie rubriek 5.2). De doseringsvereisten voor fenytoïne zijn zeer wisselend en dienen individueel te worden","Ouderen","Wel dosisaanpassing"
"Diphantoïne 250 mg/5 ml, oplossing voor injectie","Er zijn onvoldoende gegevens voor gebruik bij patiënten met een ernstige nier- of leverinsufficiëntie.","Leverinsufficiëntie","Niet onderzocht"
"Diphantoïne 250 mg/5 ml, oplossing voor injectie","Er zijn onvoldoende gegevens voor gebruik bij patiënten met een ernstige nier- of leverinsufficiëntie.","Nierinsufficiëntie","Niet onderzocht"
"Pioglitazon Actavis 15 mg tabletten","Voor oudere patiënten is geen aanpassing van de dosering noodzakelijk (zie rubriek 5.2). Artsen moeten de behandeling beginnen met de laagst beschikbare dosis en de dosis geleidelijk verhogen, vooral wanneer pioglitazon wordt gebruikt in combinatie met insuline (zie rubriek 4.4 Vochtretentie en hartfalen).","Ouderen","Geen dosisaanpassing"
"Pioglitazon Actavis 15 mg tabletten","Bij patiënten met verminderde nierfunctie is geen aanpassing van de dosering noodzakelijk (creatinineklaring > 4 ml/min) (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Pioglitazon Actavis 15 mg tabletten","Er is geen informatie beschikbaar m.b.t. dialysepatiënten, daarom dient pioglitazon bij deze patiënten niet te worden gebruikt.","Nierinsufficiëntie","Gecontra-indiceerd"
"Pioglitazon Actavis 15 mg tabletten","Pioglitazon dient niet te worden gebruikt bij patiënten met verminderde leverfunctie (zie rubriek 4.3 en 4.4).","Leverinsufficiëntie","Gecontra-indiceerd"
"Propranolol HCl Aurobindo 10 mg, filmomhulde tabletten","De biologische beschikbaarheid van propranolol kan verhoogd zijn bij patiënten met leverinsufficiëntie; daarom kan het nodig zijn om de dosis aan te passen.","Leverinsufficiëntie","Geen dosisaanpassing"
"Propranolol HCl Aurobindo 10 mg, filmomhulde tabletten","Bij patiënten met een ernstige leveraandoening (bv. cirrose) wordt een lage aanvangsdosering aanbevolen (niet meer dan 20 mg driemaal per dag), waarbij de respons op de behandeling nauwgezet in de gaten dient te worden gehouden (zoals het effect op de
hartfrequentie).","Leverinsufficiëntie","Geen dosisaanpassing"
"Propranolol HCl Aurobindo 10 mg, filmomhulde tabletten","Bewijs over het verband tussen het bloedspiegels en de leeftijd zijn tegenstrijdig. Bij ouderen dient propranolol met voorzichtigheid te worden gebruikt. Voorgesteld wordt om de behandeling met de laagste dosering te beginnen. De optimale dosering dient individueel te worden bepaald op geleide van de klinische response.","Ouderen","Geen dosisaanpassing"
"Propranolol HCl Aurobindo 10 mg, filmomhulde tabletten","De bloedconcentraties van propranolol kunnen toenemen bij patiënten met significant nierinsufficiëntie en hemodialyse. Voorzichtigheid is geboden bij het starten van de behandeling en de selectie van de aanvangsdosering.","Nierinsufficiëntie","Geen dosisaanpassing"
"Propranolol HCl retard Teva 80 mg, capsules met gereguleerde afgifte","Gedecompenseerde levercirrose: Propranolol dient met de nodige voorzichtigheid te worden gebruikt bij patiënten met gedecompenseerde cirrose.","Leverinsufficiëntie","Geen dosisaanpassing"
"Propranolol HCl retard Teva 80 mg, capsules met gereguleerde afgifte","Ernstig verminderde lever- of nierfunctie. Aangezien de halfwaardetijd verlengd kan worden bij patiënten met een significante lever- of nieraandoening, is voorzichtigheid geboden bij de start van de behandeling en de selectie van de aanvangsdosering.","Nierinsufficiëntie","Geen dosisaanpassing"
"Quetiafair 25 mg, filmomhulde tabletten","Evenals andere antipsychotica dient Quetiafair bij ouderen met voorzichtigheid te worden toegediend, met name gedurende de initiële doseringsperiode. Het kan nodig zijn de dosistitratie langzamer te laten verlopen dan bij jongere patiënten, terwijl tevens de therapeutische dagdosis lager kan zijn, afhankelijk van de klinische respons en de verdraagbaarheid bij de individuele patiënt. Bij oudere patiënten was de gemiddelde plasmaklaring van quetiapine 30 tot 50% lager dan bij jongere patiënten.","Ouderen","Wel dosisaanpassing"
"Quetiafair 25 mg, filmomhulde tabletten","De werkzaamheid en de veiligheid zijn nog niet vastgesteld bij patiënten ouder dan 65 jaar met depressieve episodes in het kader van bipolaire stoornis.","Ouderen","Niet onderzocht"
"Quetiafair 25 mg, filmomhulde tabletten","Er is geen dosisaanpassing nodig voor patiënten met nierinsufficiëntie.","Nierinsufficiëntie","Geen dosisaanpassing"
"Quetiafair 25 mg, filmomhulde tabletten","Quetiapine wordt uitgebreid gemetaboliseerd door de lever. Quetiafair moet daarom met voorzichtigheid worden toegepast bij patiënten met leverinsufficiëntie, met name gedurende de initiële doseringsperiode","Leverinsufficiëntie","Geen dosisaanpassing"
"Quinapril Aurobindo 5 mg, 10 mg, 20 mg, 40 mg, filmomhulde tabletten.","In patiënten met nierinsufficiëntie dient het volgende doseringsvoorschrift te worden aangehouden. Nierstatus creatinineklaring (ml/min) aanvangsdosis (mg/dag) Lichte stoornis 30-80 5-10 Matige stoornis 10-30 2.5-5","Nierinsufficiëntie","Wel dosisaanpassing"
"Quinapril Aurobindo 5 mg, 10 mg, 20 mg, 40 mg, filmomhulde tabletten.","Patiënten met (pre)terminale nierinsufficiëntie (creatinineklaring < 10 ml/min.) en dialysepatiënten zijn onvoldoende onderzocht.","Nierinsufficiëntie","Niet onderzocht"
"Quinapril Aurobindo 5 mg, 10 mg, 20 mg, 40 mg, filmomhulde tabletten.","Fysiologische veranderingen gepaard gaande met het ouder worden kunnen het effect op de behandeling bij hypertensie beïnvloeden Tevens dalen de vormings- en eliminatiesnelheid van quinaprilaat bij patiënten boven de 65 jaar en komen goed overeen met een nierinsufficiëntie zoals regelmatig bij ouderen wordt waargenomen. Leeftijd op zich lijkt de werkzaamheid of veiligheid van quinapril niet te beïnvloeden. Aangezien de nierfunctie lijkt achteruit te gaan bij het ouder worden, is de aanbevolen aanvangsdosis in deze patiënten 5 mg quinapril éénmaal daags, gevolgd door titratie tot het optimale effect.","Ouderen","Wel dosisaanpassing"
"Quinapril Aurobindo 5 mg, 10 mg, 20 mg, 40 mg, filmomhulde tabletten.","De combinatie quinapril/hydrochloorthiazide is gecontra-indiceerd bij patiënten met ernstige nierfunctiestoornissen (creatinineklaring < 30 ml/min).","Nierinsufficiëntie","Gecontra-indiceerd"
"Quinapril Aurobindo 5 mg, 10 mg, 20 mg, 40 mg, filmomhulde tabletten.","Bij patiënten met een creatinineklaring tussen 30 en 80 ml/min mag de combinatie alleen gebruikt worden na titratie van de individuele componenten. De aanbevolen startdosering van quinapril als monotherapie bij deze patiënten bedraagt 5 mg (zie 4.4).","Nierinsufficiëntie","Niet onderzocht"
"Quinapril Aurobindo 5 mg, 10 mg, 20 mg, 40 mg, filmomhulde tabletten.","Klinische studies van de combinatie quinapril en hydrochloorthiazide hebben niet aangetoond dat leeftijd is gerelateerd met enige verandering in de werkzaamheid of tolerantie.","Ouderen","Geen dosisaanpassing"
"Ramipril Accord 1,25 mg, capsule hard","Bij patiënten met leverinsufficiëntie mag de behandeling met ramipril alleen onder strikt medisch toezicht worden opgestart","Leverinsufficiëntie","Geen dosisaanpassing"
"Ramipril Accord 1,25 mg, capsule hard","De startdoseringen moeten lager zijn en de daarop volgende dosistitraties moeten geleidelijker zijn omwille van een groter risico op bijwerkingen, in het bijzonder bij zeer oude en fragiele patiënten.","Ouderen","Wel dosisaanpassing"
"Ramipril Accord 1,25 mg, capsule hard","Een verlaagde startdosis van 1,25 mg ramipril moet in overweging worden genomen.","Ouderen","Wel dosisaanpassing"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","De werkzaamheid en veiligheid van OKEDI bij ouderen > 65 jaar zijn niet vastgesteld voor de OKEDI suspensie voor injectie met verlengde afgifte.","Ouderen","Niet onderzocht"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","Bij ouderen moet OKEDI met voorzichtigheid worden gebruikt. Vóór toediening van OKEDI moet de verdraagbaarheid van ≥ 3 mg oraal risperidon per dag op betrouwbare wijze zijn vastgesteld.","Ouderen","Geen dosisaanpassing"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","In het algemeen is de aanbevolen dosering van risperidon voor oudere patiënten met een normale nierfunctie dezelfde als die voor volwassen patiënten met een normale nierfunctie.","Ouderen","Geen dosisaanpassing"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","OKEDI is niet systematisch onderzocht bij patiënten met een nierfunctiestoornis","Nierinsufficiëntie","Niet onderzocht"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","Voor patiënten met een lichte nierfunctiestoornis (creatinineklaring 60 tot 89 ml/min) is voor OKEDI geen dosisaanpassing nodig.","Nierinsufficiëntie","Geen dosisaanpassing"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","OKEDI wordt niet aanbevolen bij patiënten met een matige tot ernstige nierfunctiestoornis (creatinineklaring < 60 ml/min).","Nierinsufficiëntie","Gecontra-indiceerd"
"OKEDI 75 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte","OKEDI is niet systematisch onderzocht bij patiënten met een leverfunctiestoornis. Patiënten met een leverfunctiestoornis hebben een verhoogde plasmaconcentratie van de vrije fractie van risperidon.","Leverinsufficiëntie","Niet onderzocht"
"RISPERDAL 0,5 mg, filmomhulde tabletten","Bij alle indicaties dienen de startdosis en de daarop volgende doseringen bij patiënten met nier- of leverinsufficiëntie te worden gehalveerd en dient titratie van de dosis langzamer te gebeuren.","Leverinsufficiëntie","Wel dosisaanpassing"
"Rivaroxaban Accord 2,5 mg filmomhulde tabletten","Beperkte klinische gegevens voor patiënten met ernstige nierinsufficiëntie (creatinineklaring 15- 29 ml/min) laten zien dat de plasmaconcentraties rivaroxaban significant verhoogd zijn. Daarom is voorzichtigheid geboden bij gebruik van Rivaroxaban Accord door deze patiënten","Nierinsufficiëntie","Geen dosisaanpassing"
"Rivaroxaban Accord 2,5 mg filmomhulde tabletten","Het gebruik wordt niet aanbevolen bij patiënten met creatinineklaring < 15 ml/min (zie rubriek 4.4 en 5.2).","Nierinsufficiëntie","Gecontra-indiceerd"
"Rivaroxaban Accord 2,5 mg filmomhulde tabletten","De dosering hoeft niet te worden aangepast voor patiënten met lichte nierinsufficiëntie (creatinineklaring 50-80 ml/min) of matige nierinsufficiëntie (creatinineklaring 30-49 ml/min) (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Rivaroxaban Accord 2,5 mg filmomhulde tabletten","Rivaroxaban Accord is gecontra-indiceerd bij patiënten met een leveraandoening die gepaard gaat met coagulopathie en een klinisch relevant bloedingsrisico, waaronder cirrotische patiënten met ChildPugh B en C (zie rubriek 4.3 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Rivaroxaban Accord 2,5 mg filmomhulde tabletten","Geen doseringsaanpassing (zie rubriek 4.4 en 5.2) Het risico van een bloeding neemt toe bij toenemende leeftijd (zie rubriek 4.4).","Ouderen","Geen dosisaanpassing"
"Rivaroxaban Intas 15 mg, filmomhulde tabletten","Er zijn geen klinische gegevens beschikbaar van kinderen met leverinsufficiëntie.","Leverinsufficiëntie","Niet onderzocht"
"Rivaroxaban Intas 15 mg, filmomhulde tabletten","Geen doseringsaanpassing (zie rubriek 5.2)","Ouderen","Geen dosisaanpassing"
"Cholecomb 10 mg/10 mg, capsule, hard","Er is geen aanpassing nodig bij patiënten met milde tot matige nierstoornis.","Nierinsufficiëntie","Geen dosisaanpassing"
"Cholecomb 10 mg/10 mg, capsule, hard","Het gebruik van rosuvastatine bij patiënten met ernstige nierstoornis is gecontra-indiceerd voor alle doses (zie rubriek 4.3 en 5.2).","Nierinsufficiëntie","Gecontra-indiceerd"
"Cholecomb 10 mg/10 mg, capsule, hard","Er is geen dosisaanpassing vereist bij patiënten met milde leverinsufficiëntie (Child Pugh score 5 tot 6).","Leverinsufficiëntie","Geen dosisaanpassing"
